ID,ResponseAS,Tags,DC,ENGLISH,GERMAN,FRENCH
11,CHA,Language,8,Fanzkap - a dwarven word meaning something along the lines of 'devilry'. Common curseword.,,"Fanzkap - mot nain signifiant quelque chose comme ""diablerie"". Juron courant."
12,INT,Spells,9,Comprehend Languages - a first level spell allowing you to understand the literal meaning of spoken and written words.,,Compréhension des langues - sort de premier niveau permettant de comprendre le sens littéral des mots parlés et écrits.
13,INT,Esoterics,7,Wizard - a book-learned arcane spellcaster. Typically plays Jor's Strings by memorizing and executing esoteric rituals and chants.,,Magicien - lanceur de sorts arcaniques formé par les livres. Joue généralement les Fils de Jor en mémorisant et en exécutant des rituels et des chants ésotériques.
14,INT,City,8,"Tolstad - a sprawling island fortress and one of five districts in the city. It sits in the middle of River Torna. Home of Jor's Pillar, a sprawling tunnel network, and Waterlane - the greatest trade hub in Askanii. You are on Tolstad right now.",,"Tolstad - vaste forteresse insulaire et l'un des cinq districts de la ville. Elle se trouve au milieu du fleuve Torna. Elle abrite le Pilier de Jor, un immense réseau de tunnels, et Waterlane, le plus grand centre commercial d'Askanii. Tu es sur Tolstad en ce moment."
15,STR,Geography,9,"River Torna - the second longest documented river along the Coast, splitting the band of Askanii in half.",,"Fleuve Torna - deuxième plus long fleuve documenté le long de la Côte, séparant la bande d'Askanii en deux."
16,CHA,"Geography
",9,"Waterlane - the largest trade port in Norvik, located in a massive tunnel piercing the center of Tolstad. It is a so-called 'marvel of dwarven engineering', and it's the reason so many people commute to Tolstad over the many bridges. Considered as one of the great crafted wonders of the world.",,"Waterlane - plus grand port commercial de Norvik, situé dans un immense tunnel qui perce le centre de Tolstad. C'est une ""merveille d'ingénierie naine"", et la raison pour laquelle tant de gens se rendent à Tolstad par ses nombreux ponts. Considéré comme l'une des grandes merveilles façonnées du monde."
17,INT,"Geography
",10,"The Coast - also known as Jor's Realm. It is a strip of land divided into eight bands. The further inland you go, the closer you get to the infinite wastes. It is theorized to be a ring or a half-sphere due to the bend of the horizon.",,"La Côte - aussi appelée Royaume de Jor. C'est une bande de terre divisée en huit bandes. Plus tu t'enfonces dans les terres, plus tu te rapproches des Désolations infinies. On suppose qu'elle forme un anneau ou une demi-sphère à cause de la courbure de l'horizon."
18,INT,"Geography
",15,"The Infinite Wastes - starting at approximately a thousand or so miles from the Coast (depending on various factors) this land is inhospitable, unexplorable, and quite frankly cursed. Each band has its own flavor of this waste.",,"Les Désolations infinies - à partir d'environ mille miles de la Côte, selon divers facteurs, cette terre est inhospitalière, inexplorable et, très franchement, maudite. Chaque bande possède sa propre version de ces désolations."
19,INT,City,9,Riverguild - a company focused on fishing and faring on the river.,,Guilde du fleuve - compagnie centrée sur la pêche et la navigation fluviale.
20,INT,"Geography, City",7,"Goblin Garden - a dwarven-built citadel, sitting at the southernmost tip of Tolstad. It is now a goblin sanctuary and greenhouse.",,"Jardin gobelin - citadelle construite par les nains, située à l'extrémité sud de Tolstad. C'est aujourd'hui un sanctuaire et une serre gobeline."
21,STR,"Religion, Politics, History",12,"Numenism - the ideology of the common gods. When deities walked among us, they built many a great empire, including Norvik.",,"Numénisme - idéologie des dieux communs. Quand les divinités marchaient parmi nous, elles bâtirent de nombreux grands empires, dont Norvik."
22,CHA,City,7,"The Palace - an unofficial nickname for the current rulers of Norvik. Named after the Palace District, in which most central authority resides.",,"Le Palais - surnom officieux des dirigeants actuels de Norvik. Il vient du District du Palais, où réside l'essentiel de l'autorité centrale."
23,INT,City,10,"The Palace District - one of five districts in Norvik. Home of aristocrats, bureaucrats, and the remnants of Urth's Court.",,"District du Palais - l'un des cinq districts de Norvik. Il abrite des aristocrates, des bureaucrates et les vestiges de la Cour d'Urth."
24,STR,"Religion, City, EM",1,Urth - your god.,,Urth - ton dieu.
25,CHA,City,13,Tolstad Militia - basically a bunch of goblins keeping monsters from entering from the Undercoast Paths. They also do firefighting and are mostly funded by the HWBT.,,"Milice de Tolstad - en gros, une bande de gobelins qui empêche les monstres d'entrer depuis les Chemins de la Sous-Côte. Ils s'occupent aussi des incendies et sont surtout financés par le HWBT."
26,WIS,Religion,8,Tol's Leaving - a Norvikian holiday. To honor Urth's brother Tol as he left to explore the wastes. Usually celebrated with honeycakes and Pearl Wine.,,"Départ de Tol - fête norvikienne. Elle honore Tol, le frère d'Urth, parti explorer les désolations. On la célèbre généralement avec des gâteaux au miel et du vin de perle."
27,CHA,"Language
",13,Pearl Wine - Good shit.,,Vin de perle - de la bonne came.
28,INT,"Politics, History, City",12,"Fire Prevention Declaration - Signed into action a few years ago, the Fire Prevention Declaration is a governmental attempt to curb the spreading of fires by employing always-ready folk in every district. The response times have been pushed down to less than ten minutes.",,"Déclaration de prévention des incendies - adoptée il y a quelques années, cette déclaration est une tentative gouvernementale de freiner la propagation des feux en employant du personnel toujours prêt dans chaque district. Les temps de réponse sont descendus sous les dix minutes."
29,INT,Esoterics,9,"Ventilation System - Tolstad is full of tiny holes and air shafts. These circulate air from the river winds all throughout the tunnels. No one knows fully how they work, but they circulate both heated and cooled air. Most likely magical in nature.",,"Système de ventilation - Tolstad est pleine de petits trous et de conduits d'aération. Ils font circuler l'air des vents du fleuve dans tous les tunnels. Personne ne sait exactement comment ils fonctionnent, mais ils brassent l'air chaud comme l'air froid. Probablement de nature magique."
30,STR,History,8,"Coast War - the great war. A conflict between the Arcanists of Reeds, as well as every other nation connected with them across the Coast. A horrible waste of human lives, which claimed millions of lives. There was no honor in this fighting. That you know.",,"Guerre de la Côte - la grande guerre. Un conflit contre les Arcanistes de Reeds, ainsi que toutes les autres nations qui leur étaient liées le long de la Côte. Un horrible gaspillage de vies humaines, qui en coûta des millions. Il n'y avait aucun honneur dans ce combat. C'est ce que tu sais."
31,INT,"History, Esoterics",16,"Gehenna - a mythical realm of evil. Sometimes called the most inhospitable plane of all existence. Ancient devils can tell tales of this strange domain, and how even their masters would avoid its burning slopes.",,"Géhenne - royaume mythique du mal. Parfois appelé le plan le plus inhospitalier de toute l'existence. Les anciens diables peuvent raconter des histoires sur ce domaine étrange, et expliquer comment même leurs maîtres évitaient ses pentes brûlantes."
32,CHA,Geography,9,The Holes - a common slang for the central spire of apartments in Tolstad. The lower ones are less fancy.,,Les Trous - argot courant pour désigner la flèche centrale d'appartements de Tolstad. Ceux du bas sont moins luxueux.
33,INT,City,7,Tithehouse - the tax collecting guild. Each district has its own. None of them are liked.,,Maison de la dîme - guilde de collecte des taxes. Chaque district a la sienne. Personne ne les aime.
34,STR,"Politics, City",10,Magistrate - the highest government position beyond the Lord Patriarch. Chosen to rule a district in Norvik for 10 to 12 years depending on their bloodline.,,Magistrat - plus haute fonction gouvernementale après le Seigneur Patriarche. Choisi pour gouverner un district de Norvik pendant dix à douze ans selon sa lignée.
35,INT,Spells,8,Speak with Animals - a first level divination spell. Grants you the ability to comprehend and verbally communicate with beasts. These conversations can be surprisingly insightful.,,Communication avec les animaux - sort de divination de premier niveau. Donne la capacité de comprendre les bêtes et de communiquer verbalement avec elles. Ces conversations peuvent être étonnamment instructives.
36,INT,Spells,10,"Arcane Lock - a second level Abjuration spell. It locks entryways until dispelled. Costs a bit to cast, but once it's in place it's quite a nuisance.",,"Verrou arcanique - sort d'abjuration de deuxième niveau. Il verrouille les passages jusqu'à dissipation. Il coûte un peu à lancer, mais une fois en place, c'est une vraie nuisance."
37,INT,Spells,8,Knock - a second level transmutation. Unlocks things. The definition of 'locked' has been stretched over the centuries. But the spell works on most closed containers or entryways.,,"Déblocage - transmutation de deuxième niveau. Ouvre les choses. La définition de ""verrouillé"" s'est beaucoup élargie au fil des siècles. Mais le sort fonctionne sur la plupart des contenants ou passages fermés."
38,INT,"Politics, Geography",12,"Golden Horde - remnants of a Celestial Empire in Divinii Torum. Led by a horrifying <i>Choir</i>, a hyper-intelligent light-being, they spread fear throughout their lands, as well as parts of western Askanii.",,"Horde dorée - vestiges d'un Empire céleste en Divinii Torum. Menés par un terrifiant <i>Choeur</i>, un être de lumière hyper-intelligent, ils répandent la peur sur leurs terres ainsi que dans certaines parties de l'ouest askanii."
39,INT,"Politics, Geography",13,Golden Line - the geographic barrier and magical wall cutting the Clanlands in two. The western side is under occupation of the Golden Horde. This fragile armistice is seen by many as not valid due to the constant guerrilla warfare by halflings stuck on the western side.,,Ligne dorée - barrière géographique et mur magique qui coupent les Terres des clans en deux. La partie occidentale est occupée par la Horde dorée. Cet armistice fragile est considéré par beaucoup comme invalide à cause de la guérilla constante menée par les halfelins coincés à l'ouest.
40,WIS,"History, Politics",12,"Goblin Genocide - the destruction of the goblin clans of Askanii, by Urth, around fifty years ago. Three clans were then 'integrated' into Norvik, with their new generation being put through human schooling.",,"Génocide gobelin - destruction des clans gobelins d'Askanii par Urth, il y a environ cinquante ans. Trois clans furent ensuite ""intégrés"" à Norvik, leur nouvelle génération étant placée dans l'enseignement humain."
41,INT,Politics,10,"Democracy - said to originate from early Arcane Era civilizations in Old Diminor, it is the rule of majority. Those with suffrage may vote to enable their preferred government. A truly messy and ineffective process.",,"Démocratie - censée venir des premières civilisations de l'Ère arcanique dans le Vieux Diminor, c'est le règne de la majorité. Ceux qui disposent du suffrage peuvent voter pour permettre leur gouvernement préféré. Un processus vraiment chaotique et inefficace."
42,CHA,"Language
",9,Urth Pray Tell - Norvikian lingo. Spoken as an exclamation of surrender to the knowledge and power of the protective god of the city. Sometimes used ironically since his death by secularists.,,Urth Pray Tell - expression norvikienne. Cri d'abandon face au savoir et au pouvoir du dieu protecteur de la ville. Parfois employée ironiquement par les laïcs depuis sa mort.
43,INT,History,13,"Gate Era - a period lasting approximately three thousand years. The first era, named after the many gates opened by Jor to connect his realm with all others. Ended around two thousand years ago, if you trust modern scholars.",,"Ère des Portes - période d'environ trois mille ans. Première ère, nommée d'après les nombreuses portes ouvertes par Jor pour relier son royaume à tous les autres. Elle prit fin il y a environ deux mille ans, si l'on en croit les érudits modernes."
44,INT,History,14,"Fade Era - a period lasting approximately one thousand one hundred and ten years, if you trust modern scholars. The second era, also known as the Fall Era, named after the slow decline following Jor shutting his gates. Ended around a thousand years ago.",,"Ère du Déclin - période d'environ mille cent dix ans, si l'on en croit les érudits modernes. Deuxième ère, aussi appelée Ère de la Chute, nommée d'après le lent déclin qui suivit la fermeture des portes de Jor. Elle prit fin il y a environ mille ans."
45,INT,History,15,Divine Era - a period lasting three hundred and seventy nine years. Named for the birth of many walking gods around the Coast. Ended five hundred and thirty eight years ago.,,Ère divine - période de trois cent soixante-dix-neuf ans. Nommée pour la naissance de nombreux dieux marcheurs autour de la Côte. Elle prit fin il y a cinq cent trente-huit ans.
46,INT,History,12,"Arcane Era - 511 years of rapid magical and technological growth, as well as the birth and death of the great human magocracies in Diminor (now Reeds). Ended twenty seven years ago.",,"Ère arcanique - 511 ans de croissance magique et technologique rapide, ainsi que de naissance et de mort des grandes magocraties humaines de Diminor, aujourd'hui Reeds. Elle prit fin il y a vingt-sept ans."
47,INT,History,9,Postwar Era - the current era. Has lasted twenty-seven years. The name was chosen in Reeds. The name is subject to change.,,Ère d'après-guerre - l'ère actuelle. Elle dure depuis vingt-sept ans. Le nom a été choisi à Reeds. Il peut encore changer.
48,INT,Geography,12,Diminor - the Arcane Era name for Reeds. Often referred to as Old Diminor. The name was changed by Freestrider Revolutionaries to mark the end of the old Magocracies.,,Diminor - nom de Reeds pendant l'Ère arcanique. Souvent appelé Vieux Diminor. Le nom fut changé par les révolutionnaires Libre-Marcheurs pour marquer la fin des anciennes magocraties.
49,INT,Politics,14,Clanlands Deal - in 13 PE (fourteen years ago) a fragile peace was signed in the Halfling Clanlands to the west of Norvik. The Golden Horde have since been a powerful ally of the city.,,"Accord des Terres des clans - en 13 EG, il y a quatorze ans, une paix fragile fut signée dans les Terres des clans halfelines à l'ouest de Norvik. Depuis, la Horde dorée est une puissante alliée de la ville."
50,CHA,Politics,8,"Muletown Incident - in 25 PE (two years ago) a reported fight with a local Arcanist occurred in the northernmost Norvikian settlement of Urthport. Ever since the city has been overrun with mules, which the locals are unable to get rid of. Thus the settlement is commonly known as Muletown.",,"Incident de Muletown - en 25 EG, il y a deux ans, une bagarre signalée avec un arcaniste local eut lieu dans la colonie norvikienne la plus au nord, Urthport. Depuis, la ville est envahie de mules dont les habitants n'arrivent pas à se débarrasser. Ainsi, la colonie est communément appelée Muletown."
51,INT,Geography,9,"Urthport - the northernmost town (or jarldom) under Norvikian influence, and the last civilized stop along the river. Famous for its furs, expeditions, and of course the Muletown Incident.",,"Urthport - ville la plus septentrionale, ou jarldom, sous influence norvikienne, et dernière halte civilisée le long du fleuve. Célèbre pour ses fourrures, ses expéditions et, bien sûr, l'incident de Muletown."
52,CHA,Esoterics,8,"Snail Incident - in 26 PE (last year) an anti-magic snail snuck into the Palace vault's magical barriers and accidentally took Urth's Helm, the most holy artifact in all of Norvik. It was a month long scandal covered by the press in detail as adventurers delved deep underground in search for the snail. However, it turned out the snail never left the vault, and the crown was quickly recovered.",,"Incident de l'escargot - en 26 EG, l'an dernier, un escargot anti-magie s'introduisit dans les barrières magiques de la chambre forte du Palais et prit accidentellement le Heaume d'Urth, l'artefact le plus sacré de tout Norvik. Ce fut un scandale d'un mois, longuement couvert par la presse, tandis que des aventuriers plongeaient profondément sous terre à la recherche de l'escargot. Mais il s'avéra que l'escargot n'avait jamais quitté la chambre forte, et la couronne fut vite récupérée."
53,CON,Esoterics,15,Esoteric Era - play the strings.,,Ère ésotérique - joue les fils.
54,INT,Geography,9,"Band - an esoteric divide splits the circular Coast of Jor into eight geographic areas, commonly known as 'bands'. Each band has unique esoteric and natural traits, and stretches from the Coast to the Infinite Wastes.",,"Bande - une division ésotérique sépare la Côte circulaire de Jor en huit zones géographiques, communément appelées ""bandes"". Chaque bande possède des traits ésotériques et naturels uniques, et s'étend de la Côte jusqu'aux Désolations infinies."
55,INT,Geography,10,"Reeds - one of eight bands along the Coast. It is a temperate land of lowland and many lakes. Commonly seen as the homeland of humans. Large portions are still cursed, holding entire undead cities, eternally burning valleys, and floating mountains.",,"Reeds - l'une des huit bandes le long de la Côte. C'est une terre tempérée de basses plaines et de nombreux lacs. Elle est généralement considérée comme la patrie des humains. De vastes portions restent maudites, abritant des villes mortes-vivantes entières, des vallées éternellement en flammes et des montagnes flottantes."
56,INT,Geography,11,"Vourgeni - one of eight bands along the Coast. An upland of crags, marchland, and gravity defying mountainous terrain. Home of giants, shamanistic humans, and tribal gnomefolk.",,"Vourgeni - l'une des huit bandes le long de la Côte. Haut pays de falaises, de marais et de reliefs montagneux qui défient la gravité. Terre des géants, des humains chamaniques et des gnomes tribaux."
57,INT,Geography,12,"Hae'Xi - one of eight bands along the Coast. Means either 'Growing Maw' or 'Into the Air' in abyssal. A deeply cursed jungle hellscape filled with volcanic rivers, flesheating insects, and murderous plants. Once an elven sanctuary, now home to demonic warlords, tieflings cities, and celestial crusaders.",,"Hae'Xi - l'une des huit bandes le long de la Côte. Signifie soit ""Gueule croissante"", soit ""Vers les airs"" en abyssal. Jungle infernale profondément maudite, remplie de rivières volcaniques, d'insectes mangeurs de chair et de plantes meurtrières. Ancien sanctuaire elfique, elle abrite aujourd'hui des seigneurs de guerre démoniaques, des cités tieffelines et des croisés célestes."
58,INT,Geography,13,"Kargamesh - one of eight bands along the Coast. A land of vast xeric shrublands and deserts. Famous for its underground cities and oasis kingdoms. Home of elementals, halflings, and the many 'planestouched' in between.",,"Kargamesh - l'une des huit bandes le long de la Côte. Terre de vastes brousses xériques et de déserts. Célèbre pour ses villes souterraines et ses royaumes d'oasis. Terre des élémentaires, des halfelins et des nombreux ""touchés par les plans"" entre les deux."
59,INT,Geography,14,"Fell Tire - one of eight bands along the Coast. A land half-ruined from millennia of warfare, its red lowlands account for a quarter of the all food production on the Coast, all flowing from the trade ports in Bloodcity Bay. The name 'Fell Tire' either originates in Orcish as 'High Place', or ""Bad Fort"" in Infernal. Or ""Hill Land"" in Goblin. It is hotly debated.",,"Fell Tire - l'une des huit bandes le long de la Côte. Terre à moitié ruinée par des millénaires de guerre, ses basses terres rouges représentent un quart de toute la production alimentaire de la Côte, exportée depuis les ports commerciaux de Bloodcity Bay. Le nom ""Fell Tire"" viendrait soit de l'orc pour ""Haut lieu"", soit de l'infernal pour ""Mauvais fort"". Ou de la langue gobeline pour ""Terre des collines"". Le débat est vif."
60,INT,Geography,15,"Ym - one of eight bands along the Coast. Great homeland of the elusive and isolationist high elves. A land of artificial forests, crags covered in eternal darkness, and roots burrowing into the very Coast itself. The Ym have fought a losing battle against devils and celestials for millennia, but their authoritarian society still lives within those great walls.",,"Ym - l'une des huit bandes le long de la Côte. Grande patrie des hauts elfes, élusifs et isolationnistes. Terre de forêts artificielles, de falaises couvertes d'une obscurité éternelle, et de racines s'enfonçant dans la Côte elle-même. Les Ym livrent depuis des millénaires une guerre perdue contre diables et célestes, mais leur société autoritaire vit encore derrière ces grands murs."
61,INT,Geography,9,"Divinii Torum - one of eight bands along the Coast. It is an askew plain, a slope growing into the Sacred Wasteland. Home of celestials, birdfolk (and originally halflings), as well as the scars of divine warfare.",,"Divinii Torum - l'une des huit bandes le long de la Côte. C'est une plaine de travers, une pente qui monte vers les Désolations sacrées. Terre des célestes, des hommes-oiseaux, à l'origine des halfelins, ainsi que des cicatrices de la guerre divine."
62,WIS,Geography,7,"Askan - one of eight bands along the Coast. It is a cold, mountainous realm. It is your home. Also referred to as 'Askanii'.",,Askan - l'une des huit bandes le long de la Côte. C'est un royaume froid et montagneux. C'est ton foyer. Aussi appelé Askanii.
63,INT,History,14,"Gorgorian - a devil second in line to rule the deepest layer of hell. Legends say he was presented with a deal: Conquer one measly pocket dimension and in exchange he would be granted the throne. A millennia of fighting orcs, elves, several walking gods later, his corpse is now used as the foundation for Bloodcity Bay.",,"Gorgorian - diable deuxième dans l'ordre de succession pour régner sur la couche la plus profonde de l'enfer. Les légendes disent qu'on lui proposa un marché : conquérir une minuscule dimension de poche et recevoir le trône en échange. Après des millénaires de combats contre orcs, elfes et plusieurs dieux marcheurs, son cadavre sert désormais de fondation à Bloodcity Bay."
64,INT,"History
",12,"Bloodcity Bay - the most populated city around the Coast. Built upon the corpse of Gorgorian the Great and Terrible. A sprawling mess of wooden walkways and buildings carved out of the calcified remains. Once famous for its fleet of airships deployed during the Coast War. Known as the origin of the Industrial Revolution, and while New Thazen has overtaken it as the leader in manufacturing, it still stands as one of the most industrious city states.",,"Bloodcity Bay - ville la plus peuplée autour de la Côte. Bâtie sur le cadavre de Gorgorian le Grand et Terrible. Un enchevêtrement tentaculaire de passerelles de bois et de bâtiments taillés dans ses restes calcifiés. Autrefois célèbre pour sa flotte d'aéronefs déployée pendant la Guerre de la Côte. Connue comme l'origine de la Révolution industrielle ; même si New Thazen l'a dépassée comme centre manufacturier, elle reste l'une des cités-États les plus industrieuses."
65,INT,Geography,15,"Yggeria - the outer god of the Ym Elves. Dead or missing since the Coast War, along with all the others.",,"Yggeria - dieu extérieur des Elfes Ym. Mort ou disparu depuis la Guerre de la Côte, comme tous les autres."
66,INT,History,13,"Ukkul - the jewel of Kargamesh. Means 'endless pillars' in primordial. A natural wonder of the world, an underground city where all elements live in harmony. Rivers of water and lava intertwine, and clouds gather around a forest of enormous stone pillars. A paradise far from the Coast and the Undersea.",,"Ukkul - le joyau de Kargamesh. Signifie ""piliers sans fin"" en primordial. Merveille naturelle du monde, cité souterraine où tous les éléments vivent en harmonie. Des rivières d'eau et de lave s'entrelacent, et les nuages se rassemblent autour d'une forêt d'énormes piliers de pierre. Un paradis loin de la Côte et de la Sous-Mer."
67,DEX,Skills,10,Dodge - the act of not getting hit. You should try it.,,Esquive - l'acte de ne pas se faire toucher. Tu devrais essayer.
68,INT,"History
",11,"Illym - an ancient elven empire, now a shell of its former self. Once ruled by Illym the Mender, a walking god who signed a treaty with Urth. Their great woodsland stands at the border between Askan and Reeds.",,"Illym - ancien empire elfique, aujourd'hui l'ombre de lui-même. Autrefois gouverné par Illym la Réparatrice, une déesse marcheuse qui signa un traité avec Urth. Ses grands bois se dressent à la frontière entre Askan et Reeds."
69,INT,Geography,8,Illym Forest - the great woodland covering most of the border between Askan and Reeds. It is the domain of the Illym elves.,,Forêt d'Illym - grande forêt couvrant l'essentiel de la frontière entre Askan et Reeds. C'est le domaine des elfes d'Illym.
70,DEX,Skills,9,Dagger - one-handed piercing weapon. Good at making holes in clerics.,,Dague - arme perforante à une main. Très douée pour faire des trous dans les clercs.
71,INT,Geography,14,"Frontier Gap - the great line drawn by nomad tribes in Vourgeni. No outsiders are allowed past this line, yet many attempt to push it back.",,"Trouée frontière - grande ligne tracée par les tribus nomades de Vourgeni. Aucun étranger n'est autorisé à la franchir, mais beaucoup tentent pourtant de la repousser."
72,CHA,"Language
",13,Postie - a reader of the Norvikian Post.,,Postie - lecteur du Norvikian Post.
73,CHA,Literature,12,Tall Tales of Terrible Tombs - magazine containing short stories about adventurers around the Coast.,,Grandes histoires de terribles tombeaux - magazine contenant des nouvelles sur les aventuriers autour de la Côte.
74,CHA,Literature,14,"Weekly Homestead - magazine containing information about living spaces, as well as a lot of ads from landlords.",,"Foyer hebdomadaire - magazine contenant des informations sur les espaces de vie, ainsi que beaucoup de publicités de propriétaires."
75,CHA,Geography,10,Old Diminor - a term for Diminor. Often used to refer to the band before it was renamed 'Reeds' during the end of the Coast War Capitulation Agreements. Some say it with sarcasm. Some say it with pride. Some say it with fear.,,"Vieux Diminor - terme pour Diminor. Souvent utilisé pour désigner la bande avant qu'elle ne soit renommée ""Reeds"" à la fin des Accords de capitulation de la Guerre de la Côte. Certains le disent avec sarcasme. Certains avec fierté. Certains avec peur."
76,INT,Esoterics,15,Bicycle - a land transportation device first popularized in the early Arcane Era. Originally invented due to the difficulty of transporting horses to the floating magocratic cities (they are scared of portals).,,"Bicyclette - moyen de transport terrestre popularisé au début de l'Ère arcanique. Inventé à l'origine à cause de la difficulté de transporter des chevaux vers les cités magocratiques flottantes, car ils ont peur des portails."
77,CHA,Esoterics,13,Bicycle - useful for traversing long distances with ease and speed. Used by common workers all around Norvik. Seen as a poor man's way of travel in the countryside.,,Bicyclette - utile pour parcourir de longues distances avec facilité et vitesse. Utilisée par les travailleurs ordinaires dans tout Norvik. Considérée comme un moyen de transport de pauvre à la campagne.
78,STR,Esoterics,12,Bicycle - a form of transport built upon the strength of your own two legs. True men race through the city streets to find their destiny.,,Bicyclette - moyen de transport bâti sur la force de tes deux jambes. Les vrais hommes traversent les rues de la ville à toute allure pour trouver leur destin.
79,WIS,Esoterics,11,Bicycle - a tool for the common man to reach distances efficiently and safely. An invaluable tool for an egalitarian society.,,Bicyclette - outil permettant à l'homme ordinaire d'atteindre des distances efficacement et en sécurité. Un outil inestimable pour une société égalitaire.
80,DEX,Esoterics,10,Bicycle - famously used by Freestriders during the early revolution to escape the magocratic forces. Now a symbol of many Free Cities in Reeds.,,Bicyclette - célèbre pour avoir été utilisée par les Libre-Marcheurs au début de la révolution afin d'échapper aux forces magocratiques. Elle est aujourd'hui un symbole de nombreuses Cités libres de Reeds.
81,CON,Esoterics,5,Bicycle - bikes are nice.,,"Bicyclette - les vélos, c'est sympa."
82,INT,Esoterics,13,"Pocket Bike - a popular magic item. Mass-produced during the late Arcane Era, but is in dwindling supply these days.",,"Vélo de poche - objet magique populaire. Produit en masse à la fin de l'Ère arcanique, mais l'offre diminue ces temps-ci."
83,INT,Nature,9,Brachen - an Askanii tree known for its impervious nature. Sometimes called Ironwood. The Illym Forest holds the largest collection of brachen in the world.,,Brachen - arbre askanii connu pour son caractère impénétrable. Parfois appelé bois-de-fer. La Forêt d'Illym possède la plus grande concentration de brachens au monde.
84,CHA,"Language
",10,Ironwood - common nickname of Brachen wood.,,Bois-de-fer - surnom courant du bois de Brachen.
85,CHA,History,11,"The Mender - a common way to referer to Illym the Mender, the goddess who established the Illym Empire. She was kind of a big deal, before she died last century.",,"La Réparatrice - manière courante de désigner Illym la Réparatrice, la déesse qui fonda l'Empire d'Illym. Elle était assez importante, avant de mourir au siècle dernier."
86,,,,,,
87,WIS,History,12,"Fell Tire - a land of elven ruins with magically fertile lowlands in between. In its center sits Bloodcity Bay, the largest city on the Coast, built out of the corpse (or rather just the head) of Gorgorian.",,"Fell Tire - terre de ruines elfiques avec des basses terres magiquement fertiles entre elles. En son centre se trouve Bloodcity Bay, la plus grande ville de la Côte, bâtie à partir du cadavre, ou plutôt seulement de la tête, de Gorgorian."
88,CHA,Geography,9,"Clanlands - a term for the unified halfling states in western Askan. The official name is the Fordnip Commonwealth, although many avoid this term as to not annoy envoys of the Golden Horde.",,"Terres des clans - terme désignant les États halfelins unifiés de l'ouest d'Askan. Le nom officiel est le Commonwealth de Fordnip, même si beaucoup l'évitent pour ne pas agacer les envoyés de la Horde dorée."
