ID,ENGLISH,GERMAN,FRENCH
IP_ARN_25,"He's grieving. But he's keeping it together, for his brother. They both have ways of dealing with it. Arn will grow up to be a great capitalist.",Il est en deuil. Mais il tient bon pour son frère. Ils ont tous les deux leurs façons de gérer ça. Arn deviendra un grand capitaliste.,Il est en deuil. Mais il tient bon pour son frère. Ils ont tous les deux leurs façons de gérer ça. Arn deviendra un grand capitaliste.
IP_AVIK_5_CON,A guy. Dwarf. Average height. Collected. Down to earth. True to his feelings. Decently smart. Chill. <i>Cool</i>. Nice to animals. Not much else to it.,Un type. Nain. Taille moyenne. Posé. Terre à terre. Fidèle à ses sentiments. Plutôt intelligent. Détendu. <i>Cool</i>. Gentil avec les animaux. Pas grand-chose d'autre à dire.,Un type. Nain. Taille moyenne. Posé. Terre à terre. Fidèle à ses sentiments. Plutôt intelligent. Détendu. <i>Cool</i>. Gentil avec les animaux. Pas grand-chose d'autre à dire.
IP_AVIK_12,"Born from the Strings of Fates - the Fade Era remnant tyrants smile upon his step. For some very, very, very strange reason. This dwarf, if handed an object with a destiny set in stone, could automatically create <shake>FRAYS</shake>. Chaos. Madness. A new chance to roll the die.","Né des Fils des Destins, les tyrans survivants de l'Ère du Déclin sourient sur ses pas. Pour une raison très, très, très étrange. Ce nain, si on lui confiait un objet au destin gravé dans la pierre, pourrait automatiquement créer des <shake>EFFILOCHURES</shake>. Chaos. Folie. Une nouvelle chance de relancer le dé.","Né des Fils des Destins, les tyrans survivants de l'Ère du Déclin sourient sur ses pas. Pour une raison très, très, très étrange. Ce nain, si on lui confiait un objet au destin gravé dans la pierre, pourrait automatiquement créer des <shake>EFFILOCHURES</shake>. Chaos. Folie. Une nouvelle chance de relancer le dé."
IP_AVIK_20,"He <i>is</i> the working class. A good Azgalist footsoldier. A loyal worker. This is the type of man who deserve a raise, so his salary meets his level of productivity.","Il <i>est</i> la classe ouvrière. Un bon fantassin azgaliste. Un travailleur loyal. Le type d'homme qui mérite une augmentation, pour que son salaire corresponde à son niveau de productivité.","Il <i>est</i> la classe ouvrière. Un bon fantassin azgaliste. Un travailleur loyal. Le type d'homme qui mérite une augmentation, pour que son salaire corresponde à son niveau de productivité."
IP_BOND_2,A demi-lich.,Une demi-liche.,Une demi-liche.
IP_BOND_8_INT,"An insane demi-lich. His mind having shattered many decades ago. However, his behavior (along with the simply fact that he exists down here in a relatively stable condition) suggests his madness has either not entirely set in, or that he is being shepherded. Perhaps by the pale man upstairs?","Une demi-liche folle. Son esprit s'est brisé il y a plusieurs décennies. Pourtant, son comportement, ainsi que le simple fait qu'il existe ici-bas dans un état relativement stable, suggère que sa folie ne s'est pas entièrement installée, ou qu'il est guidé. Peut-être par l'homme pâle à l'étage ?","Une demi-liche folle. Son esprit s'est brisé il y a plusieurs décennies. Pourtant, son comportement, ainsi que le simple fait qu'il existe ici-bas dans un état relativement stable, suggère que sa folie ne s'est pas entièrement installée, ou qu'il est guidé. Peut-être par l'homme pâle à l'étage ?"
IP_BOND_12,"You understand how to please him. His EGO is almost as big as his physical body is tiny, and he craves the feeling of superiority. In effect, he's a fairly good teacher, if you can stand the belittlement.","Tu comprends comment lui plaire. Son EGO est presque aussi grand que son corps physique est minuscule, et il crave le sentiment de supériorité. En pratique, c'est un assez bon professeur, si tu supportes le rabaissement.","Tu comprends comment lui plaire. Son EGO est presque aussi grand que son corps physique est minuscule, et il crave le sentiment de supériorité. En pratique, c'est un assez bon professeur, si tu supportes le rabaissement."
IP_BOND_18,"This skull has seen more esoteric events, historical battles, and shifts in global power than even the grandest of dragons of the Fade Era. Keep on his good side, and you'll have a great repository of knowledge in the future here.","Ce crâne a vu plus d'événements ésotériques, de batailles historiques et de basculements de puissance mondiale que même les plus grands dragons de l'Ère du Déclin. Reste dans ses bonnes grâces, et tu auras ici un formidable réservoir de savoir pour l'avenir.","Ce crâne a vu plus d'événements ésotériques, de batailles historiques et de basculements de puissance mondiale que même les plus grands dragons de l'Ère du Déclin. Reste dans ses bonnes grâces, et tu auras ici un formidable réservoir de savoir pour l'avenir."
IP_BORGO_2_STR,This is a true warrior.,C'est un vrai guerrier.,C'est un vrai guerrier.
IP_BORGO_9,"He is off-duty. But whatever duty that is, it's everlasting.","Il n'est pas en service. Mais quel que soit ce service, il est éternel.","Il n'est pas en service. Mais quel que soit ce service, il est éternel."
IP_BORGO_16,This dark knight can break you like a twig. Yet he will not. He is bound by an order - but why does it not affect you?,"Ce chevalier noir peut te briser comme une brindille. Pourtant il ne le fera pas. Il est lié par un ordre, mais pourquoi cela ne t'affecte-t-il pas ?","Ce chevalier noir peut te briser comme une brindille. Pourtant il ne le fera pas. Il est lié par un ordre, mais pourquoi cela ne t'affecte-t-il pas ?"
IP_BORGO_21,Not a man. Not even corporeal. This is a silent yet shrieking wraith forced into enslavement by the darkness of this realm. There is something indescribably manly about self-control in such circumstances.,"Pas un homme. Même pas corporel. C'est un spectre silencieux et pourtant hurlant, forcé à la servitude par les ténèbres de ce royaume. Il y a quelque chose d'indescriptiblement viril dans la maîtrise de soi en de telles circonstances.","Pas un homme. Même pas corporel. C'est un spectre silencieux et pourtant hurlant, forcé à la servitude par les ténèbres de ce royaume. Il y a quelque chose d'indescriptiblement viril dans la maîtrise de soi en de telles circonstances."
IP_BRAXO_6_STR,Surprisingly content. Hard worker.,Étonnamment satisfait. Travailleur acharné.,Étonnamment satisfait. Travailleur acharné.
IP_BRAXO_10,"Has a nested interest in the current regime. Devils used to be allowed into the city only on work visas, so he could have served for several decades.","Il a un intérêt bien enraciné dans le régime actuel. Les diables n'étaient autrefois autorisés dans la ville qu'avec des visas de travail, il a donc pu servir pendant plusieurs décennies.","Il a un intérêt bien enraciné dans le régime actuel. Les diables n'étaient autrefois autorisés dans la ville qu'avec des visas de travail, il a donc pu servir pendant plusieurs décennies."
IP_BRAXO_15,Somehow you just know this devil would gladly organize a mass genocide against non-humans in this city.,"D'une manière ou d'une autre, tu sais simplement que ce diable organiserait volontiers un génocide de masse contre les non-humains de cette ville.","D'une manière ou d'une autre, tu sais simplement que ce diable organiserait volontiers un génocide de masse contre les non-humains de cette ville."
IP_BRAXO_18,This is no ordinary imp. His stature and position implies a former rank. A Greater Devil? What kind of game is he playing?,Ce n'est pas un diablotin ordinaire. Sa stature et sa position impliquent un ancien rang. Un Diable supérieur ? À quel jeu joue-t-il ?,Ce n'est pas un diablotin ordinaire. Sa stature et sa position impliquent un ancien rang. Un Diable supérieur ? À quel jeu joue-t-il ?
IP_BRAXO_24,"Braxo. He works for the upper city echelon, and knows more than you'll ever hear. The tiny form is a convenience. Keep him as your friend. He will be useful.","Braxo. Il travaille pour l'échelon supérieur de la ville, et il en sait plus que tu n'en entendras jamais. Sa forme minuscule est une commodité. Garde-le comme ami. Il sera utile.","Braxo. Il travaille pour l'échelon supérieur de la ville, et il en sait plus que tu n'en entendras jamais. Sa forme minuscule est une commodité. Garde-le comme ami. Il sera utile."
IP_BRR_2_WIS,<i>Brrr.</i>,<i>Brrr.</i>,<i>Brrr.</i>
IP_BRR_4,"The vibrations he gives off is his language. With magic, you could communicate better.","Les vibrations qu'il émet sont son langage. Avec de la magie, tu pourrais mieux communiquer.","Les vibrations qu'il émet sont son langage. Avec de la magie, tu pourrais mieux communiquer."
IP_BRR_12,This is a scout of the deeper crevices of the earth. A creature set to keep an eye on the horrors of the icy rage.,C'est un éclaireur des crevasses les plus profondes de la terre. Une créature chargée de garder un oeil sur les horreurs de la rage glacée.,C'est un éclaireur des crevasses les plus profondes de la terre. Une créature chargée de garder un oeil sur les horreurs de la rage glacée.
IP_BRR_14,<i>Brrr</i>.,<i>Brrr</i>.,<i>Brrr</i>.
IP_BRR_17,Perhaps a future ambassador of his people. Treat him with respect.,Peut-être un futur ambassadeur de son peuple. Traite-le avec respect.,Peut-être un futur ambassadeur de son peuple. Traite-le avec respect.
IP_CHAMAR_9_STR,A follower of the Holy Mountain. Of Divinii Torum.,Une disciple de la Montagne sacrée. De Divinii Torum.,Une disciple de la Montagne sacrée. De Divinii Torum.
IP_CHAMAR_12,She hates you. Entirely due to your blood origin. Or maybe there's something else...,Elle te déteste. Entièrement à cause de ton origine sanguine. Ou peut-être y a-t-il autre chose...,Elle te déteste. Entièrement à cause de ton origine sanguine. Ou peut-être y a-t-il autre chose...
IP_CHAMAR_19,"Ah. Of course. It is not you she hates. She hates herself. The human part of herself. The part which places her below her glorious golden celestial masters. If she could sever that humanity, she would do so in an instant, all for a slim chance to hear the choir.","Ah. Bien sûr. Ce n'est pas toi qu'elle déteste. Elle se déteste elle-même. La part humaine d'elle-même. La part qui la place sous ses glorieux maîtres célestes dorés. Si elle pouvait trancher cette humanité, elle le ferait en un instant, pour une mince chance d'entendre le choeur.","Ah. Bien sûr. Ce n'est pas toi qu'elle déteste. Elle se déteste elle-même. La part humaine d'elle-même. La part qui la place sous ses glorieux maîtres célestes dorés. Si elle pouvait trancher cette humanité, elle le ferait en un instant, pour une mince chance d'entendre le choeur."
IP_CHAMAR_23,"Beyond the veil of a faithful servant, there is also a layer of scheming. Yes, this woman is not so much kneeling before power as much as she is intending to grasp as much from the hierarchy as she is able. What an interesting woman.","Derrière le voile d'une servante fidèle, il y a aussi une couche de machination. Oui, cette femme ne s'agenouille pas tant devant le pouvoir qu'elle cherche à en saisir autant que la hiérarchie le lui permet. Quelle femme intéressante.","Derrière le voile d'une servante fidèle, il y a aussi une couche de machination. Oui, cette femme ne s'agenouille pas tant devant le pouvoir qu'elle cherche à en saisir autant que la hiérarchie le lui permet. Quelle femme intéressante."
IP_DARROW_5_CHA,Here he is. The Coinlord of Norvik and Magistrate of Tolstad.,Le voilà. Le Seigneur-monnayeur de Norvik et Magistrat de Tolstad.,Le voilà. Le Seigneur-monnayeur de Norvik et Magistrat de Tolstad.
IP_DARROW_10,"That smile of his is a facade, of course. An expression-simulacra, heavily trained over the course of twenty years on the job. He's an expert in his field, and his field is politics.","Son sourire est une façade, bien sûr. Une expression-simulacre, lourdement entraînée pendant vingt ans de travail. C'est un expert dans son domaine, et son domaine, c'est la politique.","Son sourire est une façade, bien sûr. Une expression-simulacre, lourdement entraînée pendant vingt ans de travail. C'est un expert dans son domaine, et son domaine, c'est la politique."
IP_DARROW_15,"He will respect you only if you serve him loyalty, like a hound, or... if you prove yourself competent and ruthless. He has no time for fools. But a man of his stature does not retain power if he does not recognize talent when it barks in his face.","Il ne te respectera que si tu le sers avec loyauté, comme un chien, ou... si tu te montres compétent et impitoyable. Il n'a pas de temps pour les idiots. Mais un homme de sa stature ne conserve pas le pouvoir s'il ne reconnaît pas le talent quand il aboie devant lui.","Il ne te respectera que si tu le sers avec loyauté, comme un chien, ou... si tu te montres compétent et impitoyable. Il n'a pas de temps pour les idiots. Mais un homme de sa stature ne conserve pas le pouvoir s'il ne reconnaît pas le talent quand il aboie devant lui."
IP_DARROW_20,"He inherited his position from his father at a young age. Nicholas has been doing this his entire life, and he's good at it. One of the best. The only problem being, if you're good at the role of a magister, then you're good at a number of nefarious, illegal activities by association.","Il a hérité de sa position de son père à un jeune âge. Nicholas a fait ça toute sa vie, et il est bon. L'un des meilleurs. Le seul problème étant que, si tu es bon dans le rôle de magistrat, alors tu es bon, par association, dans un certain nombre d'activités néfastes et illégales.","Il a hérité de sa position de son père à un jeune âge. Nicholas a fait ça toute sa vie, et il est bon. L'un des meilleurs. Le seul problème étant que, si tu es bon dans le rôle de magistrat, alors tu es bon, par association, dans un certain nombre d'activités néfastes et illégales."
IP_DRUMMER_2_DEX,"It's just a crate, right? But what's the rythmic thumping noise?","C'est juste une caisse, non ? Mais c'est quoi, ce bruit de battement rythmique ?","C'est juste une caisse, non ? Mais c'est quoi, ce bruit de battement rythmique ?"
IP_DRUMMER_6,You're kidding. The bird is actually- the tea shop owner is- he's... come on. Really?,Tu plaisantes. L'oiseau est vraiment... le propriétaire du salon de thé est... il est... allez. Sérieusement ?,Tu plaisantes. L'oiseau est vraiment... le propriétaire du salon de thé est... il est... allez. Sérieusement ?
IP_DRUMMER_12,"This must be the silliest, most idiotic, and plain stupid plan you've ever seen enacted. Even if he is one of those bird-people who are able to survive without food or water for weeks.","C'est forcément le plan le plus idiot, le plus stupide et le plus bêtement débile que tu aies jamais vu mettre en oeuvre. Même s'il fait partie de ces hommes-oiseaux capables de survivre des semaines sans nourriture ni eau.","C'est forcément le plan le plus idiot, le plus stupide et le plus bêtement débile que tu aies jamais vu mettre en oeuvre. Même s'il fait partie de ces hommes-oiseaux capables de survivre des semaines sans nourriture ni eau."
IP_DRUMMER_15,"Okay, listen up. This bird is inside the crate, and once you get it open, you'll be in for an interrogation. So be ready. He'll try to talk himself out of it, but don't worry about that. Just focus on getting him to tell you the actual truth. Be rough or smooth, doesn't matter.","Bon, écoute bien. Cet oiseau est dans la caisse, et une fois que tu l'auras ouverte, tu auras droit à un interrogatoire. Alors sois prêt. Il essaiera de s'en sortir par la parole, mais ne t'inquiète pas pour ça. Concentre-toi juste sur le fait de lui faire dire la vraie vérité. Brutal ou doux, peu importe.","Bon, écoute bien. Cet oiseau est dans la caisse, et une fois que tu l'auras ouverte, tu auras droit à un interrogatoire. Alors sois prêt. Il essaiera de s'en sortir par la parole, mais ne t'inquiète pas pour ça. Concentre-toi juste sur le fait de lui faire dire la vraie vérité. Brutal ou doux, peu importe."
IP_ETTIR_5_STR,Cold. Stern. Glorious.,Froide. Sévère. Glorieuse.,Froide. Sévère. Glorieuse.
IP_ETTIR_10,She follows orders. The type of orders that grant eternal fulfillment.,Elle obéit aux ordres. Le genre d'ordres qui accordent l'accomplissement éternel.,Elle obéit aux ordres. Le genre d'ordres qui accordent l'accomplissement éternel.
IP_ETTIR_15,"There is a sadness in her existence. Broken wings, stuck among lesser beings. What does she seek?","Il y a une tristesse dans son existence. Des ailes brisées, coincées parmi des êtres inférieurs. Que cherche-t-elle ?","Il y a une tristesse dans son existence. Des ailes brisées, coincées parmi des êtres inférieurs. Que cherche-t-elle ?"
IP_ETTIR_20,When an angel falls she ceases to exist. She is transformed. This creature does not seek redemption or emancipation. She seeks purpose.,"Quand un ange chute, il cesse d'exister. Il est transformé. Cette créature ne cherche ni rédemption ni émancipation. Elle cherche un but.","Quand un ange chute, il cesse d'exister. Il est transformé. Cette créature ne cherche ni rédemption ni émancipation. Elle cherche un but."
IP_ETTIR_25,"Ettir does not need to be here. Something binds her to earth. To Norvik. And it is not esoteric. Not in any sense of the word.


It must be a difficult being. To live between worlds like she does. Perhaps one day she will understand his words.",Ettir n'a pas besoin d'être ici. Quelque chose la lie à la terre. À Norvik. Et ce n'est pas ésotérique. Pas dans le moindre sens du mot. Il doit être difficile d'exister ainsi. De vivre entre les mondes comme elle le fait. Peut-être comprendra-t-elle ses paroles un jour.,Ettir n'a pas besoin d'être ici. Quelque chose la lie à la terre. À Norvik. Et ce n'est pas ésotérique. Pas dans le moindre sens du mot. Il doit être difficile d'exister ainsi. De vivre entre les mondes comme elle le fait. Peut-être comprendra-t-elle ses paroles un jour.
IP_EVER_5_CHA,By the gods... it's a TRIFLER!,Par les dieux... c'est un TRIFLER !,Par les dieux... c'est un TRIFLER !
IP_EVER_10,"He's real polite though. And he's genuinely not trying to kill you. You don't think it's really got a gender either, but it feels like a 'he' doesn't it? Don't ask him about his gender. Or maybe do?","Il est très poli, cela dit. Et il n'essaie sincèrement pas de te tuer. Tu ne penses pas qu'il ait vraiment un genre non plus, mais « il » lui convient, pas vrai ? Ne lui demande pas son genre. Ou peut-être que si ?","Il est très poli, cela dit. Et il n'essaie sincèrement pas de te tuer. Tu ne penses pas qu'il ait vraiment un genre non plus, mais « il » lui convient, pas vrai ? Ne lui demande pas son genre. Ou peut-être que si ?"
IP_EVER_15,"You get a sense for his motivation here. The aberration before you does not hold any grudge, and acts polite towards these ants running around him- all for the purpose of some greater, <i>esoteric</i> vision.","Tu saisis quelque chose de sa motivation ici. L'aberration devant toi ne nourrit aucune rancune et se montre polie envers ces fourmis qui courent autour d'elle, tout cela au nom d'une vision plus grande, <i>ésotérique</i>.","Tu saisis quelque chose de sa motivation ici. L'aberration devant toi ne nourrit aucune rancune et se montre polie envers ces fourmis qui courent autour d'elle, tout cela au nom d'une vision plus grande, <i>ésotérique</i>."
IP_EVER_20,"<i>Yunolotia Manathern</i>. Fate cannot sway.

Ever-Glad seeks the end of the facade. Ever-Glad seeks the beginning of another Era. All for the sake of avoiding the FREYS OF DOOM.",<i>Yunolotia Manathern</i>. Le Destin ne peut le faire plier. Ever-Glad cherche la fin de la façade. Ever-Glad cherche le commencement d'une autre Ère. Tout cela pour éviter les EFFILOCHURES DU DESTIN FUNESTE.,<i>Yunolotia Manathern</i>. Le Destin ne peut le faire plier. Ever-Glad cherche la fin de la façade. Ever-Glad cherche le commencement d'une autre Ère. Tout cela pour éviter les EFFILOCHURES DU DESTIN FUNESTE.
IP_FREY_5_STR,"She is dressed in a fine silken robe, like a noblewoman.","Elle porte une fine robe de soie, comme une noble.","Elle porte une fine robe de soie, comme une noble."
IP_FREY_10,"Her hair is short and coarse. The rebellious kind, but Urthfolk nobility nonetheless.","Ses cheveux sont courts et rêches. Du genre rebelle, mais noblesse Urthfolk tout de même.","Ses cheveux sont courts et rêches. Du genre rebelle, mais noblesse Urthfolk tout de même."
IP_FREY_15,Why is she down here? Not many of her kind seek the company of Waterlane workers and goblins.,Pourquoi est-elle ici-bas ? Peu de gens de son espèce recherchent la compagnie des ouvriers de Waterlane et des gobelins.,Pourquoi est-elle ici-bas ? Peu de gens de son espèce recherchent la compagnie des ouvriers de Waterlane et des gobelins.
IP_FREY_20,Hold on. You recognize her. This is... *Freydis Darrow*! The daughter of the Coinlord!,Attends. Tu la reconnais. C'est... *Freydis Darrow* ! La fille du Seigneur-monnayeur !,Attends. Tu la reconnais. C'est... *Freydis Darrow* ! La fille du Seigneur-monnayeur !
IP_GORM_9_STR,"Alas, poor Gorm. His choices led him down this doomed path. Painfully relatable. ","Hélas, pauvre Gorm. Ses choix l'ont mené sur ce chemin condamné. Douloureusement parlant.","Hélas, pauvre Gorm. Ses choix l'ont mené sur ce chemin condamné. Douloureusement parlant."
IP_GORM_14,"Here we have someone who is supposed to be the best of us. Human of good breed. Raised up by Urth himself. Educated, rich, seemingly healthy...

If he could not stay on the path, who could?","Voici quelqu'un qui est censé représenter le meilleur d'entre nous. Humain de bonne lignée. Élevé par Urth lui-même. Éduqué, riche, apparemment en bonne santé... Si lui n'a pas pu rester sur le chemin, qui le pourrait ?","Voici quelqu'un qui est censé représenter le meilleur d'entre nous. Humain de bonne lignée. Élevé par Urth lui-même. Éduqué, riche, apparemment en bonne santé... Si lui n'a pas pu rester sur le chemin, qui le pourrait ?"
IP_GORM_18,"You're nothing like him. You did not come from nobility. You were not given any special treatment, even with your latent talents. The only thing you have in common is your willingness to throw it all away - to throw yourselves against the meat grinder of TIME.

But you will not be minced. Your sinewy nature will grind it to a halt. The farm boy will live past Ragnarôk. The hero's bones will break upon the pavement.","Tu n'as rien à voir avec lui. Tu ne viens pas de la noblesse. On ne t'a accordé aucun traitement spécial, même avec tes talents latents. La seule chose que vous avez en commun, c'est votre volonté de tout jeter, de vous lancer contre le hachoir du TEMPS. Mais tu ne seras pas haché. Ta nature nerveuse l'enrayera. Le garçon de ferme survivra au Ragnarok. Les os du héros se briseront sur le pavé.","Tu n'as rien à voir avec lui. Tu ne viens pas de la noblesse. On ne t'a accordé aucun traitement spécial, même avec tes talents latents. La seule chose que vous avez en commun, c'est votre volonté de tout jeter, de vous lancer contre le hachoir du TEMPS. Mais tu ne seras pas haché. Ta nature nerveuse l'enrayera. Le garçon de ferme survivra au Ragnarok. Les os du héros se briseront sur le pavé."
IP_GORM_20,Gorm also has a bad shoulder. Exploit that. (Also relatable.),Gorm a aussi une mauvaise épaule. Exploite ça. Aussi : même combat.,Gorm a aussi une mauvaise épaule. Exploite ça. Aussi : même combat.
IP_GOUR_5_STR,"A great and mighty <i>frost troll</i>. Horrifying, even while asleep.","Un grand et puissant <i>troll de givre</i>. Terrifiant, même endormi.","Un grand et puissant <i>troll de givre</i>. Terrifiant, même endormi."
IP_GOUR_10,"You've got a few ways of approaching this. Killing a troll is not easy, and you need all the advantage you can get.

1. Attack him right away, giving you a head start.
2. Put up some kind of trap.
3. Try to communicate first (weak).
4. Walk away (also weak).","Tu as quelques façons d'aborder ça. Tuer un troll n'est pas facile, et tu as besoin de tous les avantages possibles. 1. L'attaquer tout de suite pour prendre de l'avance. 2. Installer une sorte de piège. 3. Essayer de communiquer d'abord (faible). 4. T'éloigner (faible aussi).","Tu as quelques façons d'aborder ça. Tuer un troll n'est pas facile, et tu as besoin de tous les avantages possibles. 1. L'attaquer tout de suite pour prendre de l'avance. 2. Installer une sorte de piège. 3. Essayer de communiquer d'abord (faible). 4. T'éloigner (faible aussi)."
