ID,ResponseAS,Tags,DC,ENGLISH,GERMAN,FRENCH
60,INT,Geography,15,"Ym - l'une des huit bandes le long de la Côte. Grande patrie des hauts elfes, élusifs et isolationnistes. Terre de forêts artificielles, de falaises couvertes d'une obscurité éternelle, et de racines s'enfonçant dans la Côte elle-même. Les Ym livrent depuis des millénaires une guerre perdue contre diables et célestes, mais leur société autoritaire vit encore derrière ces grands murs.",,"Ym - l'une des huit bandes le long de la Côte. Grande patrie des hauts elfes, élusifs et isolationnistes. Terre de forêts artificielles, de falaises couvertes d'une obscurité éternelle, et de racines s'enfonçant dans la Côte elle-même. Les Ym livrent depuis des millénaires une guerre perdue contre diables et célestes, mais leur société autoritaire vit encore derrière ces grands murs."
61,INT,Geography,9,"Divinii Torum - l'une des huit bandes le long de la Côte. C'est une plaine de travers, une pente qui monte vers les Désolations sacrées. Terre des célestes, des hommes-oiseaux, à l'origine des halfelins, ainsi que des cicatrices de la guerre divine.",,"Divinii Torum - l'une des huit bandes le long de la Côte. C'est une plaine de travers, une pente qui monte vers les Désolations sacrées. Terre des célestes, des hommes-oiseaux, à l'origine des halfelins, ainsi que des cicatrices de la guerre divine."
62,WIS,Geography,7,Askan - l'une des huit bandes le long de la Côte. C'est un royaume froid et montagneux. C'est ton foyer. Aussi appelé Askanii.,,Askan - l'une des huit bandes le long de la Côte. C'est un royaume froid et montagneux. C'est ton foyer. Aussi appelé Askanii.
63,INT,History,14,"Gorgorian - diable deuxième dans l'ordre de succession pour régner sur la couche la plus profonde de l'enfer. Les légendes disent qu'on lui proposa un marché : conquérir une minuscule dimension de poche et recevoir le trône en échange. Après des millénaires de combats contre orcs, elfes et plusieurs dieux marcheurs, son cadavre sert désormais de fondation à Bloodcity Bay.",,"Gorgorian - diable deuxième dans l'ordre de succession pour régner sur la couche la plus profonde de l'enfer. Les légendes disent qu'on lui proposa un marché : conquérir une minuscule dimension de poche et recevoir le trône en échange. Après des millénaires de combats contre orcs, elfes et plusieurs dieux marcheurs, son cadavre sert désormais de fondation à Bloodcity Bay."
64,INT,"History
",12,"Bloodcity Bay - ville la plus peuplée autour de la Côte. Bâtie sur le cadavre de Gorgorian le Grand et Terrible. Un enchevêtrement tentaculaire de passerelles de bois et de bâtiments taillés dans ses restes calcifiés. Autrefois célèbre pour sa flotte d'aéronefs déployée pendant la Guerre de la Côte. Connue comme l'origine de la Révolution industrielle ; même si New Thazen l'a dépassée comme centre manufacturier, elle reste l'une des cités-États les plus industrieuses.",,"Bloodcity Bay - ville la plus peuplée autour de la Côte. Bâtie sur le cadavre de Gorgorian le Grand et Terrible. Un enchevêtrement tentaculaire de passerelles de bois et de bâtiments taillés dans ses restes calcifiés. Autrefois célèbre pour sa flotte d'aéronefs déployée pendant la Guerre de la Côte. Connue comme l'origine de la Révolution industrielle ; même si New Thazen l'a dépassée comme centre manufacturier, elle reste l'une des cités-États les plus industrieuses."
65,INT,Geography,15,"Yggeria - dieu extérieur des Elfes Ym. Mort ou disparu depuis la Guerre de la Côte, comme tous les autres.",,"Yggeria - dieu extérieur des Elfes Ym. Mort ou disparu depuis la Guerre de la Côte, comme tous les autres."
66,INT,History,13,"Ukkul - le joyau de Kargamesh. Signifie ""piliers sans fin"" en primordial. Merveille naturelle du monde, cité souterraine où tous les éléments vivent en harmonie. Des rivières d'eau et de lave s'entrelacent, et les nuages se rassemblent autour d'une forêt d'énormes piliers de pierre. Un paradis loin de la Côte et de la Sous-Mer.",,"Ukkul - le joyau de Kargamesh. Signifie ""piliers sans fin"" en primordial. Merveille naturelle du monde, cité souterraine où tous les éléments vivent en harmonie. Des rivières d'eau et de lave s'entrelacent, et les nuages se rassemblent autour d'une forêt d'énormes piliers de pierre. Un paradis loin de la Côte et de la Sous-Mer."
67,DEX,Skills,10,Esquive - l'acte de ne pas se faire toucher. Tu devrais essayer.,,Esquive - l'acte de ne pas se faire toucher. Tu devrais essayer.
68,INT,"History
",11,"Illym - ancien empire elfique, aujourd'hui l'ombre de lui-même. Autrefois gouverné par Illym la Réparatrice, une déesse marcheuse qui signa un traité avec Urth. Ses grands bois se dressent à la frontière entre Askan et Reeds.",,"Illym - ancien empire elfique, aujourd'hui l'ombre de lui-même. Autrefois gouverné par Illym la Réparatrice, une déesse marcheuse qui signa un traité avec Urth. Ses grands bois se dressent à la frontière entre Askan et Reeds."
69,INT,Geography,8,Forêt d'Illym - grande forêt couvrant l'essentiel de la frontière entre Askan et Reeds. C'est le domaine des elfes d'Illym.,,Forêt d'Illym - grande forêt couvrant l'essentiel de la frontière entre Askan et Reeds. C'est le domaine des elfes d'Illym.
70,DEX,Skills,9,Dague - arme perforante à une main. Très douée pour faire des trous dans les clercs.,,Dague - arme perforante à une main. Très douée pour faire des trous dans les clercs.
71,INT,Geography,14,"Trouée frontière - grande ligne tracée par les tribus nomades de Vourgeni. Aucun étranger n'est autorisé à la franchir, mais beaucoup tentent pourtant de la repousser.",,"Trouée frontière - grande ligne tracée par les tribus nomades de Vourgeni. Aucun étranger n'est autorisé à la franchir, mais beaucoup tentent pourtant de la repousser."
72,CHA,"Language
",13,Postie - lecteur du Norvikian Post.,,Postie - lecteur du Norvikian Post.
73,CHA,Literature,12,Grandes histoires de terribles tombeaux - magazine contenant des nouvelles sur les aventuriers autour de la Côte.,,Grandes histoires de terribles tombeaux - magazine contenant des nouvelles sur les aventuriers autour de la Côte.
74,CHA,Literature,14,"Foyer hebdomadaire - magazine contenant des informations sur les espaces de vie, ainsi que beaucoup de publicités de propriétaires.",,"Foyer hebdomadaire - magazine contenant des informations sur les espaces de vie, ainsi que beaucoup de publicités de propriétaires."
